week,mean,std
-11.0,5.2980877390326215,0.6094343825466831
-10.0,5.303712035995501,0.5749084350211476
-9.0,5.219347581552306,0.43595860345832366
-8.0,5.331833520809899,0.5585637663954041
-7.0,5.258717660292463,0.3123721908700609
-6.0,5.556805399325085,0.418156802664963
-5.0,5.0956130483689535,0.6064598855077248
-4.0,5.281214848143982,0.4924820609070505
-3.0,5.253093363329584,0.28828751278698095
-2.0,5.455568053993251,0.4550933289221012
-1.0,5.061867266591676,0.49165706943919596
0.0,5.15185601799775,0.5588279876809452
1.0,5.354330708661417,0.4389955035086015
2.0,5.2643419572553425,0.42018178691829217
3.0,5.601799775028121,0.5377604417008558
4.0,5.635545556805399,0.402415729209152
5.0,6.749156355455568,0.3476009668126009
6.0,9.032620922384703,1.1342084302868312
7.0,11.310461192350957,1.1656279130419693
8.0,12.530933633295836,0.41336350753038964
9.0,13.048368953880765,0.36429354815739245
10.0,12.536557930258718,0.7075147995841313
11.0,11.749156355455568,0.8003712503152111
12.0,11.541057367829023,0.7957005476413969
13.0,10.613048368953882,0.48049625620757425
14.0,10.056242969628796,0.7147800680143611
15.0,9.904386951631045,0.5407033461425413
16.0,10.044994375703038,0.5381034668309098
17.0,9.302587176602925,0.6964218197034631
18.0,9.173228346456694,0.48538692936763583
19.0,8.661417322834646,0.38035109570051007
20.0,8.869516310461192,0.2724931732308897
21.0,8.908886389201351,0.5842685430164013
22.0,8.76265466816648,0.8628118833393229
23.0,9.145106861642294,0.4561463183650341
24.0,8.92013498312711,0.20814965080139958
25.0,9.100112485939258,0.37860055720357705
26.0,9.049493813273342,0.47376704277016024
27.0,9.100112485939258,0.6955734297802217
28.0,9.21259842519685,0.3278214172387608
29.0,9.105736782902138,0.5524518000317887
30.0,9.370078740157481,0.46081495711494563
31.0,9.426321709786277,0.5627108408675253
32.0,9.482564679415074,0.4291329982826101
33.0,9.403824521934757,0.9113212512158423
34.0,9.87064116985377,0.7247781947321843
35.0,9.955005624296962,0.8754653780232265
36.0,10.47806524184477,0.5629731158017708
37.0,11.749156355455568,0.608161379512092
38.0,12.654668166479189,1.1612187077953764
