week,mean,std
-11.0,-1.3081447231134014,29.067215706249122
-10.0,-0.3414028664492109,26.566439521945863
-9.0,-0.6344616661886984,26.96323917171225
-8.0,-1.166615565113025,27.12241867540226
-7.0,-1.1990877424722652,26.017978796545243
-6.0,-1.4998337045473908,27.580095415540356
-5.0,-0.4594673905893731,26.73394779406295
-4.0,-1.5774874928864557,26.469713325196853
-3.0,-0.8648992177378408,25.737397786524184
-2.0,-0.30321238016977986,27.53863528252136
-1.0,-1.545309974865483,27.14615066186711
0.0,-2.495021895393383,27.180475987207803
1.0,-0.1349042568408643,28.472530815823816
2.0,-1.618947911082014,29.860142230067005
3.0,-0.9159584630531604,29.844326866384034
4.0,-1.5424724021156357,30.74905741920309
5.0,-2.2017840606860384,30.70281279840791
6.0,6.403798345359102,32.288369527005734
7.0,14.400876805449808,34.032990465492325
8.0,17.65097160803184,35.51533078440032
9.0,19.55477887411855,36.44823810056407
10.0,19.755317434069667,36.857776293636554
11.0,18.820203829611096,37.899800206111586
12.0,18.401351828993246,36.791179992159385
13.0,17.375638233121702,36.87224488615105
14.0,18.642235718068005,34.39768588377912
15.0,16.300942818571173,35.64073532344201
16.0,15.622775826038772,35.91030146211479
17.0,13.984253679869573,34.466111946937566
18.0,12.590616536897581,35.343481898871524
19.0,11.868135597176025,35.84226885248412
20.0,9.829240387991106,34.66335512173853
21.0,9.011342212118475,35.46439100040829
22.0,7.415330599984004,35.30769534717715
23.0,6.8709638776838124,35.83743788368235
24.0,6.066333544269589,35.55249638636693
25.0,4.164695347647124,35.7706913220952
26.0,4.274512454925458,35.999017672293704
27.0,2.7403577268725163,37.392231933013086
28.0,1.316931180817479,37.10824279204288
29.0,0.9691338788384336,37.41765539866401
30.0,0.10101281234568518,37.15665226374517
31.0,-1.2176031378123773,39.250090947201336
32.0,-3.251549598941118,38.954393105812564
33.0,-4.928512659281257,40.01288512073331
34.0,-8.201971844909613,41.82854895738096
35.0,-9.01989837864877,43.290273646258164
36.0,-12.520183187527106,44.889161896259296
37.0,-14.750261375879429,45.90803515830972
38.0,-14.42225432630731,45.06749657793895
