week,data
-11.0,89.87626546681663
-10.0,89.85376827896512
-9.0,90.55118110236221
-8.0,90.28683914510685
-7.0,90.19122609673789
-6.0,90.31496062992126
-5.0,90.67491563554556
-4.0,90.43307086614173
-3.0,90.5286839145107
-2.0,90.17435320584927
-1.0,90.03374578177727
0.0,90.25871766029246
1.0,89.83689538807648
2.0,89.73565804274466
3.0,89.67379077615298
4.0,90.11248593925758
5.0,90.5286839145107
6.0,89.98312710911135
7.0,89.49381327334085
8.0,88.97637795275591
9.0,89.20697412823397
10.0,88.99887514060742
11.0,88.63329583802025
12.0,88.67829021372329
13.0,89.19572553430821
14.0,89.15635545556805
15.0,89.14510686164229
16.0,89.48256467941506
17.0,89.3082114735658
18.0,89.38695163104613
19.0,89.60067491563554
20.0,89.92688413948258
21.0,90.35433070866142
22.0,89.4431946006749
23.0,89.28008998875141
24.0,89.40944881889764
25.0,89.80314960629921
26.0,89.89313835770528
27.0,89.85939257592801
28.0,90.0281214848144
29.0,89.4431946006749
30.0,89.05511811023622
31.0,88.57705286839145
32.0,89.11698537682788
33.0,88.49831271091112
34.0,87.12035995500561
35.0,86.45669291338582
36.0,84.81439820022497
37.0,81.20359955005624
38.0,72.64341957255343
