,week,percentile_10,percentile_25,percentile_50,percentile_75,percentile_90
0,-11.0,85.86462294072591,87.02093103114689,88.23953210087937,89.4229370456689,90.37313732151198
1,-10.0,85.7598071693701,86.97932089248307,88.28239174179572,89.39990019569987,90.4303859051916
2,-9.0,85.79190910377362,86.94487789341204,88.25119101148849,89.39811780024749,90.37694095715804
3,-8.0,85.82649713808158,87.02364127821438,88.24112655682305,89.38869780683265,90.44470839700281
4,-7.0,85.82090100276135,87.0174915491607,88.22833296408118,89.35306871217045,90.35913581368673
5,-6.0,85.94009562069539,87.13365504764444,88.2664042909397,89.42558514148807,90.388900766523
6,-5.0,85.954196128751,87.08007293942963,88.28541574219267,89.45485886756518,90.406480155753
7,-4.0,85.9396152259889,87.05579188053429,88.23594540220017,89.38411065768891,90.42246682318569
8,-3.0,85.89534865424373,87.07443159206069,88.31904398271647,89.47200031910273,90.45292666381407
9,-2.0,85.9658093025438,87.02104015409748,88.33178533505162,89.4851828058098,90.40762790636005
10,-1.0,86.00972643141398,87.11212016000708,88.27139726473503,89.41723533322192,90.36166193005097
11,0.0,85.90562772804844,87.0765844441069,88.3042038430088,89.45222895918737,90.40644183742987
12,1.0,85.97603558223615,87.0827699682741,88.29092894738473,89.45664505583517,90.429777629565
13,2.0,86.03032783643359,87.16763175620093,88.36375401085388,89.54266846983543,90.51155103082735
14,3.0,86.02224182197698,87.19552869926012,88.34952963753037,89.52881094839267,90.44439526225808
15,4.0,85.70335359188176,86.90971733381637,88.08091903468974,89.30392347834398,90.34044289980363
16,5.0,85.38004001754469,86.55102091236904,87.80550644443973,89.00954911754924,89.9492151865888
17,6.0,85.17969436705579,86.39088577825022,87.64089998583188,88.82445135019398,89.86779770154824
18,7.0,85.07776892776134,86.34793029704072,87.53891150552711,88.71023094515392,89.76363542602861
19,8.0,85.08557080050764,86.19570518564953,87.43930574423817,88.625501535571,89.6480777964973
20,9.0,85.07605627850752,86.18663636697138,87.43692291703971,88.69063404439277,89.69613646732105
21,10.0,85.16359380154029,86.30093421324474,87.52633706234536,88.68960713302643,89.76385521509906
22,11.0,85.19080227471966,86.3624740094169,87.546549849134,88.68879445679629,89.71097238354697
23,12.0,85.1053262814159,86.28186245348022,87.50268914360157,88.70014584977031,89.73978177534141
24,13.0,85.21390312248398,86.32254343519973,87.57056026133996,88.7568214027562,89.76452049906827
25,14.0,85.2757872277831,86.47229896949975,87.64517524179156,88.80024490641685,89.78103715288725
26,15.0,85.34887635011961,86.53365867972595,87.7014100928566,88.89807090471433,90.02994035517558
27,16.0,85.39260008016673,86.47627542549992,87.71228372282538,88.90594366278788,89.85551091093264
28,17.0,85.54054342199537,86.62207140571763,87.81902700451592,88.99222244084548,90.01760518906664
29,18.0,85.49066689287336,86.64849655544643,87.83521965343702,88.98441448279227,89.99118201557978
30,19.0,85.5642853791832,86.6503977163893,87.87201798105417,89.02761803638924,90.00429331140703
31,20.0,85.38269134810277,86.58326112592873,87.85973374893032,89.02548553066413,90.03070972981332
32,21.0,85.49791143308538,86.51901165651839,87.78902163203642,89.0331746787825,89.99376854758657
33,22.0,85.38504996487367,86.53713474127856,87.74221031100318,89.00252651965644,90.04373167129337
34,23.0,85.3715099197865,86.61574155186993,87.79061517733352,88.92521408166681,89.9441892404094
35,24.0,85.30911367680677,86.54661755887548,87.78307385312873,88.96815930644225,90.03309903475461
36,25.0,85.19733698612423,86.44677411308587,87.69407673653438,88.8722846946282,89.93216256128733
37,26.0,85.36436478952368,86.4742567977213,87.61735595657802,88.79545745409062,89.82779027489751
38,27.0,85.20566298062359,86.38189879362156,87.61603733409002,88.82150802452203,89.83073088461487
39,28.0,85.16680463056164,86.27271259275872,87.59811455756123,88.75770579130204,89.79687194108274
40,29.0,85.0973560100317,86.32535754136919,87.51813958690882,88.6995684389303,89.78006017153196
41,30.0,84.99747795046164,86.22069192189424,87.4923236785173,88.68083677487593,89.73081554881921
42,31.0,84.93009525687465,86.17678380067417,87.43936641258657,88.64399829605088,89.65379778678928
43,32.0,84.88035800906245,86.06317166927329,87.34076079937094,88.53266020162694,89.58462373057246
44,33.0,84.75184864078483,85.88234443857476,87.26600695315936,88.44704012608366,89.54659937645116
45,34.0,84.7350211986714,85.90806495468973,87.16052224812398,88.3775677088378,89.46199223847911
46,35.0,84.50255130891017,85.7729188138898,87.04883146268041,88.28717070251142,89.34228215997835
47,36.0,84.42201447872321,85.65235607434553,87.02002411929512,88.26154257533219,89.35198863050708
48,37.0,84.32607110192639,85.63226373713577,86.90217783895545,88.09559729888124,89.21587974107281
49,38.0,84.2226582606012,85.51809610464485,86.83149698558069,88.12600987526244,89.14817226008694
