,week,percentile_10,percentile_25,percentile_50,percentile_75,percentile_90
0,-11.0,382.5,436.5,487.0,535.5,580.0
1,-10.0,386.5,438.5,487.5,535.0,580.0
2,-9.0,385.0,439.0,488.0,535.5,580.5
3,-8.0,382.5,437.0,487.5,536.0,579.5
4,-7.0,384.0,437.0,486.0,534.0,580.5
5,-6.0,381.5,436.0,486.0,533.5,578.0
6,-5.0,385.0,439.0,487.0,535.0,578.5
7,-4.0,386.0,437.5,485.5,533.5,577.5
8,-3.0,385.0,437.0,486.0,533.5,579.5
9,-2.0,385.0,438.0,486.5,534.0,581.0
10,-1.0,383.5,438.0,486.0,532.5,578.5
11,0.0,383.5,436.0,485.0,532.5,577.5
12,1.0,383.1,437.5,487.0,534.0,578.5
13,2.0,383.5,436.0,484.5,532.0,578.0
14,3.0,384.5,438.0,486.5,532.5,577.0
15,4.0,384.0,438.5,488.0,534.0,579.5
16,5.0,383.0,438.5,489.5,535.5,581.0
17,6.0,396.0,450.0,499.0,545.5,590.5
18,7.0,402.55000000000007,458.0,506.5,555.5,602.0
19,8.0,407.0,461.5,511.0,560.0,607.5
20,9.0,409.5,463.5,513.0,563.0,607.5
21,10.0,407.5,462.5,514.5,563.5,610.5
22,11.0,402.5,460.5,513.0,562.0,611.0
23,12.0,405.0,460.5,513.0,562.5,609.0
24,13.0,403.0,461.0,512.0,560.5,608.0
25,14.0,405.5,462.0,512.5,560.0,606.5
26,15.0,400.5,458.5,509.5,559.0,604.5
27,16.0,400.95000000000005,459.0,509.0,558.0,604.0
28,17.0,399.0,455.5,506.5,554.5,600.0
29,18.0,398.0,455.5,506.0,553.5,598.5
30,19.0,397.0,454.0,503.0,551.5,596.5
31,20.0,397.5,452.5,502.0,549.0,594.5
32,21.0,391.5,449.0,500.5,549.0,595.0
33,22.0,393.5,451.0,500.0,548.0,592.5
34,23.0,389.5,448.0,499.0,546.5,592.0
35,24.0,389.0,446.5,497.5,546.0,591.5
36,25.0,389.5,445.5,496.5,545.5,591.0
37,26.0,388.0,447.5,497.5,545.0,589.5
38,27.0,384.0,445.0,496.0,544.0,589.0
39,28.0,382.5,443.5,494.5,543.5,587.5
40,29.0,382.5,443.5,494.0,542.5,588.5
41,30.0,377.5,441.5,493.0,542.0,588.0
42,31.0,372.5,441.0,494.0,542.0,586.5
43,32.0,373.0,439.5,492.0,540.5,584.0
44,33.0,371.0,437.5,490.5,538.0,584.0
45,34.0,363.5,435.0,488.0,537.0,582.0
46,35.0,360.0,433.5,488.5,537.0,583.5
47,36.0,349.0,429.5,485.0,536.0,583.0
48,37.0,341.5,427.0,485.0,535.0,581.5
49,38.0,344.0,426.0,485.5,536.0,583.0
