week,mean,std
-11.0,-0.6537209892673053,30.854962224243707
-10.0,0.7028511893755772,29.992672243164204
-9.0,0.6594268092784551,29.471308803565204
-8.0,-0.258894843749264,29.573983849212556
-7.0,-0.36746021071533796,28.884725179253543
-6.0,-0.8603991444145338,29.82969264980337
-5.0,0.7501616529061085,29.24428415581838
-4.0,-0.5001535768654576,28.91214680734662
-3.0,-0.05330640431995176,29.419829298716394
-2.0,0.39092185989897577,29.865742179156328
-1.0,-0.7649569385684961,30.72363832116789
0.0,-1.83264783009431,30.505310689503975
1.0,0.3032985375359017,32.215502309049974
2.0,-1.7769392329103384,33.92175266327701
3.0,-0.1530112029701008,32.98883433024914
4.0,0.17681661097593832,35.27798026397837
5.0,0.5508053319615163,37.19759170882378
6.0,11.656332981151076,37.77957518830591
7.0,20.415773642708377,39.65274029578804
8.0,24.20517106884934,41.4722061859448
9.0,26.65529766595039,42.617451151665456
10.0,26.059017372234653,42.702828070524774
11.0,25.180563474166984,43.03720490338458
12.0,24.77807843324952,42.90283278846893
13.0,23.718743937737674,43.72062607979433
14.0,24.555334809707055,40.30503369282092
15.0,21.424099566277132,42.21162811939891
16.0,21.077418085157607,42.03513859077033
17.0,18.04404891989431,39.89166159757949
18.0,16.6476249317315,41.78114760831215
19.0,15.455450158615694,41.22008986509072
20.0,13.701147269131114,40.269900252072965
21.0,12.50593085412989,41.66046770322587
22.0,11.19085552694063,40.67698092490573
23.0,9.901316166946721,42.273284338357044
24.0,9.383064593934995,41.1147218761935
25.0,8.063437369418185,42.10574051172368
26.0,8.32294333541083,43.021348590321246
27.0,6.285561357374075,43.156768166633796
28.0,5.327101920246529,42.919608686174726
29.0,4.64001059525725,43.39867134209981
30.0,3.6924925954883534,44.47554338018715
31.0,2.696922509619769,46.259853352618535
32.0,0.8182993574291535,45.69775042813069
33.0,-0.7258011912388612,46.59101922134652
34.0,-3.87603675783018,48.68138590503555
35.0,-4.504153986671717,49.621089389937126
36.0,-8.752369388859341,52.87481454458643
37.0,-10.70880186565304,54.381425749920744
38.0,-9.89646729198872,52.35847611584832
