week,mean
-11.0,91.85258227536055
-10.0,91.7847898434611
-9.0,92.17305558979415
-8.0,91.91421175890545
-7.0,91.96967829409589
-6.0,92.03130777764082
-5.0,92.36410698878343
-4.0,92.733883890053
-3.0,92.38875878220139
-2.0,92.34561814371995
-1.0,91.18082090472082
0.0,91.5259460125724
1.0,66.42220304860513
2.0,86.81745346973992
3.0,89.63392086774313
4.0,90.08381609762111
5.0,90.34882287686429
6.0,91.22396154320226
7.0,91.34105756193763
8.0,91.50745716750895
9.0,91.26093923332922
10.0,91.55676075434488
11.0,92.08061136447677
12.0,92.83865401207937
13.0,92.07444841612227
14.0,92.14224084802169
15.0,92.25933686675705
16.0,91.79711574017009
17.0,92.09293726118575
18.0,91.06988783433995
19.0,90.91581412547764
20.0,90.40428941205472
